"Year","Month","Precipitation"
2010,1,96.6999969482422
2010,2,48.7000007629395
2010,3,59
2010,4,59.0999984741211
2010,5,2.20000004768372
2010,6,0.899999976158142
2010,7,0
2010,8,0
2010,9,2.40000009536743
2010,10,6
2010,11,35
2010,12,35.0999984741211
2011,1,87.1999969482422
2011,2,101.400001525879
2011,3,130.899993896484
2011,4,62.2000007629395
2011,5,2.59999990463257
2011,6,1.10000002384186
2011,7,0
2011,8,0
2011,9,2.40000009536743
2011,10,1.29999995231628
2011,11,10.8999996185303
2011,12,79.1999969482422
2012,1,84.1999969482422
2012,2,136.199996948242
2012,3,89.9000015258789
2012,4,13
2012,5,1.20000004768372
2012,6,0.899999976158142
2012,7,0
2012,8,0
2012,9,1.29999995231628
2012,10,13.6000003814697
2012,11,29.3999996185303
2012,12,25.2999992370605
2013,1,56.2000007629395
2013,2,68.1999969482422
2013,3,55.4000015258789
2013,4,9.60000038146973
2013,5,7
2013,6,0.899999976158142
2013,7,0
2013,8,0
2013,9,2.59999990463257
2013,10,3.09999990463257
2013,11,21.6000003814697
2013,12,79.3000030517578
2014,1,65.9000015258789
2014,2,139
2014,3,127.099998474121
2014,4,33.5999984741211
2014,5,1.60000002384186
2014,6,0.899999976158142
2014,7,0
2014,8,0
2014,9,1.70000004768372
2014,10,8.5
2014,11,28.8999996185303
2014,12,22.7000007629395
2015,1,47
2015,2,89.9000015258789
2015,3,54.5999984741211
2015,4,25.2999992370605
2015,5,1.39999997615814
2015,6,1.10000002384186
2015,7,0
2015,8,0
2015,9,1.39999997615814
2015,10,5.59999990463257
2015,11,13.1000003814697
2015,12,22.2999992370605
2016,1,37
2016,2,88.4000015258789
2016,3,82.0999984741211
2016,4,29.2999992370605
2016,5,2.59999990463257
2016,6,1.10000002384186
2016,7,0
2016,8,0
2016,9,2.40000009536743
2016,10,6
2016,11,35
2016,12,35.0999984741211
2017,1,87.1999969482422
2017,2,98.4000015258789
2017,3,82.0999984741211
2017,4,29.2999992370605
2017,5,2.59999990463257
2017,6,1.10000002384186
2017,7,0
2017,8,0
2017,9,2.40000009536743
2017,10,6
2017,11,35
2017,12,35.0999984741211
2018,1,87.1999969482422
2018,2,98.4000015258789
2018,3,82.0999984741211
2018,4,29.2999992370605
2018,5,2.59999990463257
2018,6,1.10000002384186
2018,7,0
2018,8,0
2018,9,2.40000009536743
2018,10,6
2018,11,35
2018,12,35.0999984741211
2019,1,87.1999969482422
2019,2,98.4000015258789
2019,3,82.0999984741211
2019,4,29.2999992370605
2019,5,2.59999990463257
2019,6,1.10000002384186
2019,7,0
2019,8,0
2019,9,2.40000009536743
2019,10,6
2019,11,35
2019,12,35.0999984741211
